St;PROVPUNKT_Original;St_Original;Datum;Temperatur;Siktdjup_m;Klorofyll_µg_l;pH;Alkalinitet_mekv_l;Syrgashalt_mg_l;Syrem;Nitrigen;fosfor;Övervakningsstation;Stationskoordina_N_X;Stationskoordina_E_Y;Year;year_month
469;Växjösjön mitt;469;2005-02-08;2.6;;;7.2;0.47;12.5;92;850;24;Växjösjön mitt;56.867805;14.81321;2005;Feb-05
469;;469;2005-03-24;4.3;;;7.1;0.49;9;69;1000;22;Växjösjön mitt;56.867805;14.81321;2005;Mar-05
469;;469;2005-05-02;11.1;1.2;29;7.7;0.47;11.5;100;940;33;Växjösjön mitt;56.867805;14.81321;2005;May-05
469;;469;2005-06-07;14.6;1.6;;7.4;0.51;8.4;83;710;48;Växjösjön mitt;56.867805;14.81321;2005;Jun-05
469;;469;2005-07-04;21.3;2;16;7.7;0.54;10.6;120;670;47;Växjösjön mitt;56.867805;14.81321;2005;Jul-05
469;;469;2005-08-04;19;2;32;7.5;0.51;8.6;93;640;38;Växjösjön mitt;56.867805;14.81321;2005;Aug-05
469;;469;2005-09-01;17.9;1.5;21;7.5;0.56;7.9;83;800;50;Växjösjön mitt;56.867805;14.81321;2005;Sep-05
469;;469;2005-10-06;13.6;1.6;24;7.5;0.54;8.6;83;750;47;Växjösjön mitt;56.867805;14.81321;2005;Oct-05
430;Srk mö 430 Bergundakanal Växjösjöns utlopp                            ;430;2006-01-10;1.1;;;7.3;0.48;11.6;82;760;26;Växjösjön utlopp;56.864825;14.802238;2006;Jan-06
430;;430;2006-03-07;0.9;;;7;0.52;11.3;79;810;22;Växjösjön utlopp;56.864825;14.802238;2006;Mar-06
430;;430;2006-05-09;13.7;;;7.6;0.52;11.6;112;1000;36;Växjösjön utlopp;56.864825;14.802238;2006;May-06
430;;430;2006-07-11;23;;;7.6;0.55;7.8;91;530;25;Växjösjön utlopp;56.864825;14.802238;2006;Jul-06
430;;430;2006-08-09;21.8;;;7.7;0.55;7.1;81;540;25;Växjösjön utlopp;56.864825;14.802238;2006;Aug-06
430;;430;2006-10-03;16;;;7.7;0.54;8.5;86;830;39;Växjösjön utlopp;56.864825;14.802238;2006;Oct-06
469;Srk mö 469 Växjösjön mitt                                             ;469;2006-01-26;1.2;;;7.1;0.5;11.7;83;850;25;Växjösjön mitt;56.867805;14.81321;2006;Jan-06
469;;469;2006-03-08;1.8;;;7;0.5;13.6;98;750;22;Växjösjön mitt;56.867805;14.81321;2006;Mar-06
469;;469;2006-05-03;10.2;2.3;13;7.5;0.52;11.6;103;980;31;Växjösjön mitt;56.867805;14.81321;2006;May-06
469;;469;2006-06-13;24.1;3.4;8.6;7.9;0.53;10;119;590;20;Växjösjön mitt;56.867805;14.81321;2006;Jun-06
469;;469;2006-07-13;23;2.2;8.2;7.7;0.54;8.8;103;490;14;Växjösjön mitt;56.867805;14.81321;2006;Jul-06
469;;469;2006-08-08;22.8;1.6;11;7.6;0.55;8.6;100;670;39;Växjösjön mitt;56.867805;14.81321;2006;Aug-06
469;;469;2006-09-11;17.6;2;15;7.6;0.53;9.5;100;570;25;Växjösjön mitt;56.867805;14.81321;2006;Sep-06
469;;469;2006-10-04;16.2;1.2;38;7.8;0.55;9;92;760;39;Växjösjön mitt;56.867805;14.81321;2006;Oct-06
430;Srk mö 430 Bergundakanal Växjösjöns utlopp                            ;430;2007-01-09;4;;;7.5;0.44;11.7;89;1200;25;Växjösjön utlopp;56.864825;14.802238;2007;Jan-07
430;;430;2007-03-14;4;;;7.4;0.43;11.4;87;1500;21;Växjösjön utlopp;56.864825;14.802238;2007;Mar-07
430;;430;2007-05-11;12.5;;;7.6;0.44;9.1;85;1100;26;Växjösjön utlopp;56.864825;14.802238;2007;May-07
430;;430;2007-07-12;16.5;;;7.7;0.5;9.6;99;720;40;Växjösjön utlopp;56.864825;14.802238;2007;Jul-07
430;;430;2007-08-08;20.7;;;8;0.48;9.2;103;920;39;Växjösjön utlopp;56.864825;14.802238;2007;Aug-07
430;;430;2007-10-03;11.8;;;7.5;0.49;7;65;810;46;Växjösjön utlopp;56.864825;14.802238;2007;Oct-07
469;Srk mö 469 Växjösjön mitt                                             ;469;2007-01-30;1.3;;;7.5;0.46;12.4;88;1400;24;Växjösjön mitt;56.867805;14.81321;2007;Jan-07
469;;469;2007-03-15;4.2;;;7.4;0.44;11;84;1400;15;Växjösjön mitt;56.867805;14.81321;2007;Mar-07
469;;469;2007-05-07;14.3;1.5;11;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;May-07
469;;469;2007-06-07;19.7;1.9;12;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;Jun-07
469;;469;2007-07-13;17.7;1.1;44;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;Jul-07
469;;469;2007-08-03;17.8;1;33;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;Aug-07
469;;469;2007-09-07;16.3;1.7;;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;Sep-07
469;;469;2007-10-21;;;14;;;;;;;Växjösjön mitt;56.867805;14.81321;2007;Oct-07
430;430 Bergundakanal Växjösjöns utlopp                            ;430;2008-01-08;0.5;;;7.5;0.48;12.4;86;930;32;Växjösjön utlopp;56.864825;14.802238;2008;Jan-08
430;;430;2008-03-05;2.1;;;7.7;0.46;12.8;93;1100;27;Växjösjön utlopp;56.864825;14.802238;2008;Mar-08
430;;430;2008-05-07;15.2;;;7.7;0.52;9.7;97;810;24;Växjösjön utlopp;56.864825;14.802238;2008;May-08
430;;430;2008-07-08;19;;;7.7;0.58;7.7;83;530;22;Växjösjön utlopp;56.864825;14.802238;2008;Jul-08
430;;430;2008-08-06;17.3;;;7.6;0.57;7.6;79;740;43;Växjösjön utlopp;56.864825;14.802238;2008;Aug-08
430;;430;2008-10-13;11;;;7.6;0.5;8.2;74;540;32;Växjösjön utlopp;56.864825;14.802238;2008;Oct-08
469;469 Bergunda kanal Växjösjön                                   ;469;2008-05-05;15.8;1.8;11;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;May-08
469;;469;2008-06-02;21.3;2.8;4;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;Jun-08
469;;469;2008-07-09;20;2.8;17;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;Jul-08
469;;469;2008-08-07;19;1.2;31;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;Aug-08
469;;469;2008-09-08;17.2;1.5;22;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;Sep-08
469;;469;2008-10-03;12.1;2;13;;;;;;;Växjösjön mitt;56.867805;14.81321;2008;Oct-08
430;430 Bergundakanal Växjösjöns utlopp                            ;430;2009-01-15;0.4;;;7.5;0.47;11.5;80;910;35;Växjösjön utlopp;56.864825;14.802238;2009;Jan-09
430;;430;2009-03-05;1.8;;;7.4;0.5;12.1;87;970;25;Växjösjön utlopp;56.864825;14.802238;2009;Mar-09
